model,accuracy,precision,recall,f1,roc_auc,pr_auc
SVC,0.95,0.924901185770751,0.9790794979079498,0.9512195121951219,0.9747391447768191,0.967493992405923
KNN,0.9333333333333333,0.896551724137931,0.9790794979079498,0.936,0.9746610184204587,0.9639608624946229
Random Forest,0.9104166666666667,0.8740458015267175,0.9581589958158996,0.9141716566866267,0.9691834927689718,0.9596769241187446
Gradient Boosting,0.8979166666666667,0.8682170542635659,0.9372384937238494,0.9014084507042254,0.9580201045157034,0.9478174038187834
Logistic Regression,0.7625,0.7358490566037735,0.8158995815899581,0.7738095238095238,0.8141460789249814,0.73579507047563
